URL,Name,Submittor(s),Submittor parties,VVD,PVV,CDA,D66,GroenLinks,SP,PvdA,ChristenUnie,PvdD,50PLUS,DENK,SGP,FvD,Krol,Van Kooten-Arissen
https://www.tweedekamer.nl/kamerstukken/moties/detail?id=2020Z25161&did=2020D52787,zo snel mogelijk een hogere rekenrente,['Gerrit Jan van Otterloo'],['50PLUS'],0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0
https://www.tweedekamer.nl/kamerstukken/moties/detail?id=2020Z25158&did=2020D52781,een noodfonds voor ondernemers die buiten alle steunmaatregelen vallen,['Chris Stoffer'],['Staatkundig Gereformeerde Partij'],,,,,,,,,,,,,,,
https://www.tweedekamer.nl/kamerstukken/moties/detail?id=2020Z25216&did=2020D52939,expliciet informeren naar geweld in de jeugd,"['Attje Kuiken', 'Lisa Westerveld']","['Partij van de Arbeid', 'GroenLinks']",,,,,,,,,,,,,,,
https://www.tweedekamer.nl/kamerstukken/moties/detail?id=2020Z25152&did=2020D52767,een rechterlijke procedure tegen de Europese Commissie starten,['Tony van Dijck'],['Partij voor de Vrijheid'],0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
https://www.tweedekamer.nl/kamerstukken/moties/detail?id=2020Z25150&did=2020D52765,onderzoeken hoe de schulden van bedrijven kunnen worden afgelost,['Tony van Dijck'],['Partij voor de Vrijheid'],1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
https://www.tweedekamer.nl/kamerstukken/moties/detail?id=2020Z25218&did=2020D52941,de financiële regeling aanpassen conform de tijdelijke regeling voor slachtoffers van seksueel misbruik in residentiële instellingen en pleeggezinnen,['Chris Jansen'],['Partij voor de Vrijheid'],0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
https://www.tweedekamer.nl/kamerstukken/moties/detail?id=2020Z25211&did=2020D52934,de tegemoetkomingsregeling aan slachtoffers van de Goede Herder heroverwegen,"['Maarten Hijink', 'Michiel van Nispen']","['Socialistische Partij', 'Socialistische Partij']",0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
https://www.tweedekamer.nl/kamerstukken/moties/detail?id=2020Z25078&did=2020D52634,versturen van betalingsherinneringen en aanmaningen vanuit de Belastingdienst wederom uitstellen,['Farid Azarkan'],['DENK'],1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
https://www.tweedekamer.nl/kamerstukken/moties/detail?id=2020Z25068&did=2020D52624,het overleggen van een negatieve coronatest voorwaardelijk maken aan het binnenreizen van Nederland,"['Rob Jetten', 'Klaas Dijkhoff']","['Democraten 66', 'Volkspartij voor Vrijheid en Democratie']",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0
https://www.tweedekamer.nl/kamerstukken/moties/detail?id=2020Z25069&did=2020D52625,inventariseren bij zorgverleners wat hen nu zou kunnen helpen,['Lilian Marijnissen'],['Socialistische Partij'],1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
